url,title,date,summary,links
https://docs.arduino.cc,N/A,N/A,N/A,https://www.arduino.cc/;https://docs.arduino.cc/;https://docs.arduino.cc/hardware;https://docs.arduino.cc/software;https://docs.arduino.cc/arduino-cloud;https://docs.arduino.cc/programming;https://docs.arduino.cc/learn;https://docs.arduino.cc/tutorials;https://docs.arduino.cc/libraries/;https://docs.arduino.cc/language-reference/
https://www.arduino.cc/,Arduino - Home,N/A,Open-source electronic prototyping platform enabling users to create interactive electronic objects.,https://arduino.cc;https://www.arduino.cc/pro;https://www.arduino.cc/edu;https://www.arduino.cc/maker;https://store.arduino.cc;https://search.arduino.cc;https://app.arduino.cc;https://store.arduino.cc;https://search.arduino.cc;https://app.arduino.cc
https://docs.arduino.cc/,N/A,N/A,N/A,https://docs.arduino.cc/built-in-examples;https://store.arduino.cc/;https://docs.arduino.cc/learn/;https://docs.arduino.cc/tutorials/;https://docs.arduino.cc/retired;https://forum.arduino.cc/;https://support.arduino.cc/;https://projecthub.arduino.cc/;https://projecthub.arduino.cc/;https://forum.arduino.cc/
https://docs.arduino.cc/software,N/A,N/A,N/A,https://docs.arduino.cc/arduino-cli/;https://docs.arduino.cc/software/ide/;https://docs.arduino.cc/arduino-cli/;https://docs.arduino.cc/software/plc-ide/;https://docs.arduino.cc/software/ide-v1/tutorials/Environment;https://docs.arduino.cc/software/ide-v1/tutorials/Linux;https://docs.arduino.cc/software/ide-v1/tutorials/PortableIDE;https://docs.arduino.cc/software/ide-v1/tutorials/Windows;https://docs.arduino.cc/software/ide-v1/tutorials/arduino-ide-v1-basics;https://docs.arduino.cc/software/ide/
https://docs.arduino.cc/tutorials,N/A,N/A,N/A,https://docs.arduino.cc/micropython/micropython-course/course/introduction-arduino;https://docs.arduino.cc/micropython/micropython-course/course/installation;https://docs.arduino.cc/micropython/micropython-course/course/introduction-python;https://docs.arduino.cc/micropython/micropython-course/course/python-cc;https://docs.arduino.cc/micropython/micropython-course/course/analog;https://docs.arduino.cc/micropython/micropython-course/course/digital;https://docs.arduino.cc/micropython/micropython-course/course/serial;https://docs.arduino.cc/micropython/micropython-course/course/internet-of-things;https://docs.arduino.cc/micropython/micropython-course/course/examples;https://docs.arduino.cc/micropython/micropython-course/projects/alarm-clock
https://docs.arduino.cc/language-reference/,N/A,N/A,N/A,https://docs.arduino.cc/language-reference/de/;https://docs.arduino.cc/language-reference/pt/;https://docs.arduino.cc/programming/;https://docs.arduino.cc/language-reference/en/functions/digital-io/digitalread/;https://docs.arduino.cc/language-reference/en/functions/digital-io/digitalwrite/;https://docs.arduino.cc/language-reference/en/functions/digital-io/pinMode/;https://docs.arduino.cc/language-reference/en/functions/math/abs/;https://docs.arduino.cc/language-reference/en/functions/math/constrain/;https://docs.arduino.cc/language-reference/en/functions/math/map/;https://docs.arduino.cc/language-reference/en/functions/math/max/
https://docs.arduino.cc/learn,N/A,N/A,N/A,https://docs.arduino.cc/learn/starting-guide/getting-started-arduino;https://docs.arduino.cc/learn/electronics/servo-motors;https://docs.arduino.cc/learn/communication/wire;https://docs.arduino.cc/learn/programming/sketches;https://docs.arduino.cc/learn/starting-guide/getting-started-arduino/;https://docs.arduino.cc/learn/starting-guide/whats-arduino/;https://docs.arduino.cc/learn/starting-guide/getting-started-with-arduino-tools/;https://docs.arduino.cc/learn/starting-guide/the-arduino-software-ide/;https://docs.arduino.cc/learn/starting-guide/the-arduino-web-editor/;https://docs.arduino.cc/learn/starting-guide/software-libraries/
https://docs.arduino.cc/arduino-cloud,N/A,N/A,N/A,https://create.arduino.cc/iot/things;https://docs.arduino.cc/cloud-api;https://docs.arduino.cc/arduino-cloud/guides/overview;https://docs.arduino.cc/arduino-cloud/guides/arduino-c;https://docs.arduino.cc/arduino-cloud/guides/esp32;https://docs.arduino.cc/arduino-cloud/guides/cloud-editor;https://docs.arduino.cc/arduino-cloud/guides/overview/;https://docs.arduino.cc/arduino-cloud/guides/editor/;https://docs.arduino.cc/arduino-cloud/guides/arduino-c/;https://docs.arduino.cc/arduino-cloud/guides/esp32/
https://docs.arduino.cc/libraries/,N/A,N/A,N/A,https://docs.arduino.cc/software/ide-v1/tutorials/installing-libraries/;https://docs.arduino.cc/libraries/lvgl;https://docs.arduino.cc/libraries/fastled;https://docs.arduino.cc/libraries/arduinojson;https://docs.arduino.cc/libraries/wifimanager;https://docs.arduino.cc/libraries/irremote;https://docs.arduino.cc/libraries/blinker;https://docs.arduino.cc/libraries/tft_espi;https://docs.arduino.cc/libraries/pubsubclient;https://docs.arduino.cc/libraries/blynk
https://docs.arduino.cc/programming,N/A,N/A,N/A,https://docs.arduino.cc/built-in-examples;https://docs.arduino.cc/micropython/;https://docs.arduino.cc/cloud-api;https://docs.arduino.cc/language-reference/en/functions/communication/serial/;https://docs.arduino.cc/language-reference/en/functions/communication/wire/;https://docs.arduino.cc/language-reference/en/functions/communication/print/;https://docs.arduino.cc/language-reference/en/functions/external-interrupts/attachInterrupt/;https://docs.arduino.cc/language-reference/en/functions/digital-io/pinMode/;https://docs.arduino.cc/language-reference/en/variables/data-types/stringObject/;https://docs.arduino.cc/libraries/liquidcrystal/
https://docs.arduino.cc/hardware,N/A,N/A,N/A,https://docs.arduino.cc/hardware/mkr-1000-wifi;https://docs.arduino.cc/hardware/mkr-fox-1200;https://docs.arduino.cc/hardware/mkr-gsm-1400;https://docs.arduino.cc/hardware/mkr-nb-1500;https://docs.arduino.cc/hardware/mkr-vidor-4000;https://docs.arduino.cc/hardware/mkr-wan-1300;https://docs.arduino.cc/hardware/mkr-wan-1310;https://docs.arduino.cc/hardware/mkr-wifi-1010;https://docs.arduino.cc/hardware/mkr-zero;https://docs.arduino.cc/hardware/mkr-485-shield
